Application;Plant;Landkreis Number;Annual Tonnes;Capacity or Production;Latitude;Longitude
Hygiene Paper;WEPA Papierfabrik Sachsen GmbH;14522;43077.00;Production;51.046211;13.017124
Technical/Special Paper and Board;Wickels Papierveredelungs-Werke Buntpapierfabrik GmbH;9563;3500.00;Production;49.459304;10.988999
Recycled Paper;A. Obenauf GmbH & Co. KG;3153;17781507.00;Production;51.874569;10.633074
Recycled Paper;Albert Koehler GmbH & Co. KG Koehler Pappen;8317;50443.20;Production;48.403814;8.010101
Recycled Paper;Aviretta GmbH;9778;192100.00;Production;48.111047;10.667487
Recycled Paper;Baden Board GmbH;8216;169500.00;Production;48.73823;8.34440
Recycled Paper;Carl Macher GmbH & Co. KG;9475;192100.00;Production;50.34938;11.865858
Recycled Paper;Cordier Spezialpapier GmbH Illig'sche Papierfabrik;6432;4621.50;Production;49.451722;8.062667
Recycled Paper;DS Smith Paper Deutschland GmbH Werk Aschaffenburg;9661;474600.00;Production;49.987393;9.157345
Recycled Paper;DS Smith Paper Deutschland GmbH Werk Witzenhausen ;6636;384200.00;Production;51.317694;9.848293
Recycled Paper;Essity Operations Mainz-Kostheim GmbH Werk Mainz-Kostheim;6414;76000.00;Production;50.005801;8.317639
Recycled Paper;FS Karton GmbH;5162;367815.00;Production;51.220207;6.697768
Recycled Paper;Gebr. Gruenewald GmbH & Co. KG;5966;25221.60;Production;51.073057;8.069731
Recycled Paper;Gebr. Lang GmbH Papierfabrik UPM Ettringen;9778;267979.50;Production;48.111844;10.671773
Recycled Paper;Hamburger Rieger Gelsenkirchen GmbH & Co. KG;5513;276850.00;Production;51.539267;7.08303
Recycled Paper;Hamburger Rieger GmbH Papierfabrik Spremberg;12071;355950.00;Production;51.527691;14.358371
Recycled Paper;Hamburger Rieger GmbH Papierfabrik Trostberg;9189;189275.00;Production;48.025551;12.544057
